name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nepal,2023-01-01,60.8,40.6,49.4,60.8,38.6,48.9,41.8,77.3,0,0,0,,0,0,14.3,9.2,220.3,1022.3,29.7,2.9,76.6,6.7,3,,2023-01-01T06:54:29,2023-01-01T17:19:47,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-02,60.8,42.8,50.6,60.8,42.8,50.5,42.9,76.8,0,0,0,,0,0,15.4,9.2,223.7,1022.9,41.1,2.9,125.9,10.8,5,,2023-01-02T06:54:44,2023-01-02T17:20:28,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-03,62.6,40.6,49.8,62.6,40.6,49.6,41.6,76.1,0,0,0,,0,0,16.8,9.2,221,1023.1,28.1,2.7,151.7,13.2,7,,2023-01-03T06:54:59,2023-01-03T17:21:10,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-04,60.9,41.7,49.5,60.9,41.7,49.3,40.7,73.3,0.004,100,4.17,rain,0,0,15,10.3,204,1022.5,46.3,3.4,140.2,12.3,6,,2023-01-04T06:55:11,2023-01-04T17:21:52,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"44454099999,VNKT,remote,44449099999"
Nepal,2023-01-05,64.4,38.8,49.3,64.4,36.6,48.8,37.6,67.6,0,0,0,,0,0,13.2,9.2,160.8,1024.2,28.1,4,160.3,13.9,6,,2023-01-05T06:55:23,2023-01-05T17:22:35,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-06,66.2,37.4,50.3,66.2,35,49.7,36.6,63.9,0,0,0,,0,0,17,9.2,118.2,1025.1,28.1,3.7,176.5,15.3,7,,2023-01-06T06:55:33,2023-01-06T17:23:19,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-07,69.8,37.4,51.4,69.8,33.7,50.7,34.1,57.6,0,0,0,,0,0,14.8,12.8,274.5,1023.4,28.1,4.4,188,16.2,7,,2023-01-07T06:55:41,2023-01-07T17:24:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-08,68,37.4,51.5,68,33.7,50.8,32.8,54.2,0,0,0,,0,0,13.2,8.1,106.4,1022.2,28.1,4.4,188.3,16.2,7,,2023-01-08T06:55:48,2023-01-08T17:24:49,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-09,68,39.2,52,68,37.9,51.7,34.1,55,0,0,0,,0,0,11.9,8.1,159.2,1022.9,28.1,4.6,187.8,16.1,7,,2023-01-09T06:55:53,2023-01-09T17:25:35,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-10,68,40.6,52.4,68,38.6,51.9,37.1,59.6,0,0,0,,0,0,16.1,8.1,157.8,1020.3,34.1,4.3,183.7,15.9,7,,2023-01-10T06:55:56,2023-01-10T17:26:21,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Nepal,2023-01-11,66.2,40.8,51.4,66.2,37.9,51,38,63.2,0,0,0,,0,0,15.7,13.9,180.4,1017.9,28.1,4.4,185.6,16,7,,2023-01-11T06:55:59,2023-01-11T17:27:08,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-12,66.2,40.6,51.5,66.2,36.8,51,38.9,65.1,0,0,0,,0,0,15.7,11.4,187.4,1016,34.3,4.3,183.2,15.8,7,,2023-01-12T06:55:59,2023-01-12T17:27:55,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Nepal,2023-01-13,64.4,40.2,51.7,64.4,38.2,51.3,40.9,69.6,0,0,0,,0,0,21,11.4,283.7,1016.9,28.1,4.5,181.7,15.6,7,,2023-01-13T06:55:58,2023-01-13T17:28:42,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-14,64.4,39.9,51.2,64.4,39.1,50.9,37.4,63.4,0,0,0,,0,0,21.5,13.9,288,1016.3,27.1,4.7,182.7,15.7,7,,2023-01-14T06:55:55,2023-01-14T17:29:30,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Nepal,2023-01-15,64.4,39.2,49.8,64.4,37.1,49.3,39.5,70.3,0,0,0,,0,0,18.8,10.3,244.5,1014.8,28.1,3.8,161,13.7,6,,2023-01-15T06:55:51,2023-01-15T17:30:18,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-16,60.8,39.9,48.9,60.8,38.8,48.6,40.9,76.1,0,0,0,,0,0,17.7,9.2,222.4,1016.5,41.4,3,149.2,13,6,,2023-01-16T06:55:45,2023-01-16T17:31:07,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-17,60.8,41,49.1,60.8,37.9,48.7,40.3,73.9,0,0,0,,0,0,17.7,8.1,245.8,1016.9,37.3,2.8,153.2,13.2,7,,2023-01-17T06:55:38,2023-01-17T17:31:55,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-18,60.8,40.9,48.6,60.8,39.1,48.1,38.4,70.1,0,0,0,,0,0,18.1,8.1,244,1019.1,37.2,3.1,169.1,14.7,7,,2023-01-18T06:55:29,2023-01-18T17:32:44,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-19,59,39.1,47.6,59,39.1,47.2,38.8,73.5,0,0,0,,0,0,17.7,11.4,257,1020.6,34.6,2.5,138.9,12.2,5,,2023-01-19T06:55:19,2023-01-19T17:33:33,0.91,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Nepal,2023-01-20,65.2,38.7,49.9,65.2,37.1,49.6,40.7,73.3,0,0,0,,0,0,20.8,11.4,255.9,1020,34.8,2.4,182.1,15.7,7,,2023-01-20T06:55:07,2023-01-20T17:34:22,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Nepal,2023-01-21,68,39.7,51.7,68,37.9,51.1,36.3,61.9,0,0,0,,0,0,21.9,17.2,305.4,1018.8,33.9,3.8,199,17.2,7,,2023-01-21T06:54:53,2023-01-21T17:35:11,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Nepal,2023-01-22,66.2,38.8,51.8,66.2,36.6,51.4,31.7,52.2,0,0,0,,0,0,23.5,16.1,297,1019.2,25.5,4.5,200.4,17.4,7,,2023-01-22T06:54:38,2023-01-22T17:36:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Nepal,2023-01-23,69.8,39.2,53.4,69.8,37,53,33.8,52,0,0,0,,0,0,25.3,12.8,292.3,1018.5,24.4,4.5,201.5,17.6,8,,2023-01-23T06:54:21,2023-01-23T17:36:49,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-01-24,69.8,40.8,54.4,69.8,38.9,54,39.3,59.3,0,0,0,,0,0,26.4,18.3,286.7,1019.6,28.1,4.1,195.6,16.9,7,,2023-01-24T06:54:03,2023-01-24T17:37:38,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
