Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","940886","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","2819.9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0112","Maize (corn)","2019","2019","t","2653243","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","957650","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","2961.1","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0112","Maize (corn)","2020","2020","t","2835674","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","979776","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","3059.6","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0112","Maize (corn)","2021","2021","t","2997733","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","985565","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","3151.9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0112","Maize (corn)","2022","2022","t","3106397","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","940256","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","3165.6","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0112","Maize (corn)","2023","2023","t","2976490.04","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0118","Millet","2019","2019","ha","263261","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0118","Millet","2019","2019","kg/ha","1193.6","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0118","Millet","2019","2019","t","314225","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0118","Millet","2020","2020","ha","262547","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0118","Millet","2020","2020","kg/ha","1222.5","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0118","Millet","2020","2020","t","320952.52","A","Official figure",""
