name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nepal,2023-07-01,78.8,69.6,73.3,78.8,69.6,73.3,69.3,87.7,0.165,100,4.17,rain,0,0,11.4,9.2,122.3,1011.2,85,4.5,71.1,5.9,3,10,2023-07-01T05:11:30,2023-07-01T19:03:30,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-02,82.4,70.8,75.1,86.3,70.8,76.2,69.6,83.7,0.004,100,4.17,rain,0,0,15.7,10.3,213.2,1010.3,88,5.3,162.2,13.9,6,10,2023-07-02T05:11:52,2023-07-02T19:03:31,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,remote,44449099999"
Nepal,2023-07-03,81.2,70.8,74.8,84.6,70.8,75.6,70.2,86.2,0.398,100,8.33,rain,0,0,15.7,10.3,187.2,1010.6,88,4.2,96.2,8.3,4,10,2023-07-03T05:12:15,2023-07-03T19:03:30,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-04,80.6,69.2,73.1,83.9,69.2,73.2,69.7,89.6,1.528,100,8.33,rain,0,0,12.5,5.8,115.3,1010.4,91,3.9,125.2,10.9,6,10,2023-07-04T05:12:38,2023-07-04T19:03:28,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-05,80.6,69.8,73.5,83.3,69.8,73.7,69.1,87.1,1.103,100,8.33,rain,0,0,12.5,10.3,99.1,1010.7,80.1,4.6,121.7,10.6,6,10,2023-07-05T05:13:02,2023-07-05T19:03:24,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-06,84.4,69.4,76.6,89,69.4,77.7,68.8,77.4,0.008,100,4.17,rain,0,0,15.4,13.9,211.2,1011.5,79.4,5,184.9,15.9,7,10,2023-07-06T05:13:27,2023-07-06T19:03:20,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-07,82.4,71.6,76.8,88.4,71.6,78.3,70.1,80.1,0.118,100,4.17,rain,0,0,24.2,12.8,196.9,1012.4,81.5,4.9,153.5,13.2,5,30,2023-07-07T05:13:52,2023-07-07T19:03:14,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-08,84.8,68.7,75.9,91.3,68.7,76.9,68.7,79,0.02,100,4.17,rain,0,0,17.4,40.4,198.2,1013.8,76.3,5.4,126.1,10.8,6,30,2023-07-08T05:14:19,2023-07-08T19:03:06,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-09,85.6,69.5,77,93.1,69.5,78.4,70.1,80.3,0.008,100,4.17,rain,0,0,15,10.3,211.8,1012.8,85.4,4.9,123.7,10.6,5,30,2023-07-09T05:14:45,2023-07-09T19:02:57,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-10,84.2,71.6,76.8,89.3,71.6,77.9,70.2,80.7,0,0,0,rain,0,0,15,11.4,189.2,1012,88.2,4.4,164.4,14.2,6,10,2023-07-10T05:15:12,2023-07-10T19:02:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-07-11,84.6,71.2,76.2,89.7,71.2,77.2,70.3,82.9,1.418,100,8.33,rain,0,0,15.9,8.1,83.9,1011.6,86.7,4.1,175.7,15.1,6,30,2023-07-11T05:15:40,2023-07-11T19:02:36,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-12,82.8,70.1,75.8,88.9,70.1,76.8,70.8,85.1,0.067,100,4.17,rain,0,0,15.7,11.4,206.8,1011.4,85.6,4.1,119.1,10.2,6,30,2023-07-12T05:16:08,2023-07-12T19:02:23,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-13,80.6,69.8,73.5,83.9,69.8,73.7,70.4,90.5,0.831,100,8.33,rain,0,0,17.7,10.3,275,1011.8,87.5,3.7,160.4,13.9,6,10,2023-07-13T05:16:37,2023-07-13T19:02:09,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-14,78.8,69.8,72.9,78.8,69.8,72.9,70.1,91.2,1.418,100,8.33,rain,0,0,13.2,5.8,110.5,1012.1,90.8,3.7,143.3,12.3,6,10,2023-07-14T05:17:06,2023-07-14T19:01:53,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-15,80.6,69.8,75.3,84.2,69.8,75.9,70,84.1,1.24,100,8.33,rain,0,0,13,8.1,221.6,1011.8,86.7,4.4,155.2,13.4,6,30,2023-07-15T05:17:35,2023-07-15T19:01:36,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-16,81.8,71.2,75.4,87.8,71.2,75.8,70.5,85.4,0.043,100,4.17,rain,0,0,15.7,10.3,239.5,1010.9,86.9,4.3,194.7,16.8,8,30,2023-07-16T05:18:05,2023-07-16T19:01:18,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
